"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:ELISA","Please, tell Sergiu I will always love him.","Пожалуйста, скажите Сергиу, что я никогда не перестану его любить."
"traveler:ELISA","We will be together in another life.","Мы обязательно встретимся в другой жизни."
"traveler:ELISA","Return this for him to remember me.","Отдайте ему вот это, пусть он напоминает ему обо мне."
"traveler:ELISA","Thank you so much.","Спасибо вам."
"traveler:ELISA","I will never forget your kindness.","Я никогда не забуду вашей доброты."
"traveler:ELISA","@He is waiting for you.","@Он вас ждет."
"traveler:ELISA","My love.","Мой любимый!"
"traveler:ELISA","I miss him.","Как я по нему скучаю!"
"traveler:ELISA","@I am sorry. Sergiu was killed.","@Мне очень жаль. Сергиу погиб."
"traveler:ELISA","My Sergiu.","Мой Сергиу!"
"traveler:ELISA","Thank you for your kindness.","Спасибо вам за вашу доброту."
"traveler:ELISA","There is nothing for me here any more.","Больше у меня ничего здесь не осталось."
"traveler:ELISA","Thank you.","Спасибо вам."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained nobody.","Ты никого не задержал."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained only one person.","Ты задержал всего одного человека."
"traveler:PRISON_GUARD_REPORTDETAINS","You detained ${Game/NumDetains} people.","Ты задержал ${Game/NumDetains}."
"traveler:PRISON_GUARD0","Hello.","Привет."
"traveler:PRISON_GUARD0","@Are you the spy?","@Вы шпион?"
"traveler:PRISON_GUARD0","What? No.","Что? Нет."
"traveler:PRISON_GUARD0","I am guard here. My name is Calensk.","Я охранник. Меня зовут Calensk."
"traveler:PRISON_GUARD0","They told me I get good position, then send me here.","Мне сказали, что дадут тепленькое местечко, - и отправили сюда."
"traveler:PRISON_GUARD0","This is thanks I get.","Вот такая благодарность."
"traveler:PRISON_GUARD0","Now they pay me almost nothing.","Еще и платят копейки."
"traveler:PRISON_GUARD0","@They pay us all as much.","@Нам всем так платят."
"traveler:PRISON_GUARD0","Yes. But look.","Это да. Но ты послушай."
"traveler:PRISON_GUARD0","I get small bonus when you detain people.","Когда ты кого-то задерживаешь, мне выписывают маленькую премию."
"traveler:PRISON_GUARD0","More you detain, more they give me for processing.","Чем больше ты задержишь, тем больше мне заплатят за то, что я их принял."
"traveler:PRISON_GUARD0","But this is not fair, right? You should get something too.","Но это ведь нечестно, а? Тебе тоже должно что-то перепадать."
"traveler:PRISON_GUARD0","So I fix this problem.","Я могу это поправить."
"traveler:PRISON_GUARD0","I give you 5 credits from my bonus for every two people you detain.","Я буду отдавать тебе из своей премии по 5 кредитов за каждых двух задержанных."
"traveler:PRISON_GUARD0","Sounds like good deal to me.","По мне, так хорошее предложение."
"traveler:PRISON_GUARD0","I give money to you after I get paid.","Отдавать деньги буду как только мне заплатят."
"traveler:PRISON_GUARD0","Let us make the best of this.","Давай друг другу поможем."
"traveler:PRISON_GUARD3","Here.","Вот."
"traveler:PRISON_GUARD3","For bonus and selling bomb parts.","За премию и за запчасти от бомбы."
"traveler:PRISON_GUARD3","They move our station to prison.","Наш взвод переводят в тюрьму."
"traveler:PRISON_GUARD3","We still get bonus so keep detaining.~","Премию все равно будут платить, так что задерживай дальше.~"
"traveler:PRISON_GUARD3","I stop visiting you here.","Я сюда ходить больше не буду."
"traveler:PRISON_GUARD3","I will drop off money at your home instead.","Буду заносить деньги тебе домой."
"traveler:PRISON_GUARD3","Every other night.","Через день, вечером."
"traveler:PRISON_GUARD_PAYOUT","What is going on?","Что происходит?"
"traveler:PRISON_GUARD_PAYOUT","I am getting nothing because of you.","Я из-за тебя ничего не получаю."
"traveler:PRISON_GUARD_PAYOUT","Detain more people and we will both benefit.","Задерживай побольше народу, и нам обоим перепадет."
"traveler:PRISON_GUARD_PAYOUT","Good morning.","Доброе утро."
"traveler:PRISON_GUARD_PAYOUT","You are not detaining enough people.","Мало народа задерживаешь."
"traveler:PRISON_GUARD_PAYOUT","I have nothing to give you.","Я тебе ничего не принес."
"traveler:PRISON_GUARD_PAYOUT","Detain more to share part of my bonus.","Задерживай побольше, я с тобой поделюсь премией."
"traveler:PRISON_GUARD_PAYOUT","Bonus is good, they pay ok.","Премия неплохая, платят сразу."
"traveler:PRISON_GUARD_PAYOUT","It is not much though.","Хотя получается не так много."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people and we do better.","Ты задерживай побольше, у обоих больше выйдет."
"traveler:PRISON_GUARD_PAYOUT","@This is not enough.","@Тут слишком мало."
"traveler:PRISON_GUARD_PAYOUT","Yes, I know.","Да, я знаю."
"traveler:PRISON_GUARD_PAYOUT","My wife sick now. Neighbor spreads the flu.","У меня жена болеет, сосед всех гриппом заразил."
"traveler:PRISON_GUARD_PAYOUT","This is what is left after medicine.","Сколько осталось, я на лекарства все потратил."
"traveler:PRISON_GUARD_PAYOUT","I give you rest next time.","В следующий раз отдам остальное."
"traveler:PRISON_GUARD_PAYOUT","Maybe you detain more people to make it easier.","Ты задерживай побольше, всем легче будет."
"traveler:PRISON_GUARD_PAYOUT","Here is your cut.","Вот твоя доля."
"traveler:PRISON_GUARD_PAYOUT","@There is more from last time.","@А где за прошлый раз?"
"traveler:PRISON_GUARD_PAYOUT","This is all I have now but soon I make up rest.","Это пока все, я скоро отдам остальное."
"traveler:PRISON_GUARD_PAYOUT","Again it is a little short.","У меня опять с деньгами плохо."
"traveler:PRISON_GUARD_PAYOUT","Keep detaining and I pay you back soon.","Ты задерживай как следует, и я сразу все отдам."
"traveler:PRISON_GUARD_BOMB","What is going on?","Что происходит?"
"traveler:PRISON_GUARD_BOMB","Oh. Hah.","А! Гм."
"traveler:PRISON_GUARD_BOMB","What is this amateur shit?","Это что за дерьмо любительское?"
"traveler:PRISON_GUARD_BOMB","@Should we evacuate?","@Нам стоит эвакуироваться?"
"traveler:PRISON_GUARD_BOMB","For that little thing? No of course not.","Из-за этой ерунды? Нет, конечно."
"traveler:PRISON_GUARD_BOMB","Just disable it. Open the cover.","Просто отключи ее. Открой крышку."
"traveler:PRISON_GUARD_BOMB","Stupid fucking terrorist.","Ну и дебилы эти террористы."
"traveler:PRISON_GUARD_BOMB","Could not even add a display.","Не могли дисплей поставить."
"traveler:PRISON_GUARD_BOMB","@What should I do now?","@Что мне теперь делать?"
"traveler:PRISON_GUARD_BOMB","This is poorest bomb I ever see. A simple mind created this.","Никогда не видел такой дурацкой бомбы. Ее собрал какой-то тупица."
"traveler:PRISON_GUARD_BOMB","Just cut the wires in order.","Просто перережь провода в правильном порядке."
"traveler:PRISON_GUARD_BOMB","Ok, all done. Back to work.","Ну вот, все готово. Возвращайся к работе."
"traveler:PRISON_GUARD_BOMB","@We should close the checkpoint.","@Надо закрыть пункт."
"traveler:PRISON_GUARD_BOMB","Bullshit. I need to earn money today.","Чушь собачья. Мне сегодня надо денег заработать."
"traveler:PRISON_GUARD_BOMB","Give bomb to me.","Давай мне бомбу."
"traveler:PRISON_GUARD_BOMB","I sell materials and give you cut.","Я продам ее по частям и дам тебе долю."
"traveler:PRISON_GUARD_BOMB","What a piece of shit.","Полная дрянь."
"traveler:PRISON_GUARD_BOMB","I doubt it is even worth much.","За нее небось и денег нормальных не выручишь."
"traveler:PRISON_GUARD_BOMB","Call the next immigrant.","Вызывай следующего."
"traveler:TIME_BOMBER","DEATH TO ARSTOTZKA!","СМЕРТЬ ТИЦКОМУ!"
"traveler:BOSS_REPORTCITATIONS","You have received no citations.","Вы не получили ни одного замечания."
"traveler:BOSS_REPORTCITATIONS","You have received one citation.","Вы получили одно замечание."
"traveler:BOSS_REPORTCITATIONS","You have received ${Game/NumCitations} citations.","Количество полученных замечаний - ${Game/NumCitations}."
